날짜/시간,화자,메시지,TMSSR,Potential
2026. 4. 15. 오전 10:48:44,준호,"선생님, 제가 일반항을 an=3+2n으로 구했는데, 실제 수열이랑 안 맞아요.",,
2026. 4. 15. 오전 10:48:44,교사,그랬구나. 어떤 부분에서 안 맞는다고 느꼈는지 말해줄래?,,
2026. 4. 15. 오전 10:48:44,준호,"n=1 넣으면 5가 나오는데, 실제 첫째항은 3이에요.",,
2026. 4. 15. 오전 10:48:44,교사,어떻게 일반항을 구했니?,Eliciting,High
2026. 4. 15. 오전 10:48:44,준호,공식을 이용해서 구했어요!,,
2026. 4. 15. 오전 10:48:44,교사,그럼 준호가 외운 공식은 어떻게 되는데?,Eliciting,Low
2026. 4. 15. 오전 10:48:44,준호,"a_n = a + n*d (a는 첫째 항, d는 공차)요. 제 공식에 문제가 있나요?",,
2026. 4. 15. 오전 10:48:44,교사,교과서를 한 번 찾아볼래?,Facilitating,Low
2026. 4. 15. 오전 10:48:44,준호,아 a_n = a + (n-1)d 이군요!,,
2026. 4. 15. 오전 10:48:44,교사,"맞아. a가 첫째 항, 그 자체이기 때문에  여기서 (n-1)d를 더해야 첫째 항이 변하지 않아.",Facilitating,High
2026. 4. 15. 오전 10:48:44,준호,오! 식에 대한 이해가 더 잘 되었어요!,,
2026. 4. 15. 오전 11:03:15,준호,"선생님, 제가 일반항을 an=3+2n으로 구했는데, 실제 수열이랑 안 맞아요.",,
2026. 4. 15. 오전 11:03:15,교사,그랬구나. 어떤 부분에서 안 맞는다고 느꼈는지 말해줄래?,,
2026. 4. 15. 오전 11:03:15,준호,"n=1 넣으면 5가 나오는데, 실제 첫째항은 3이에요.",,
2026. 4. 15. 오전 11:03:15,교사,어떤 과정을 통해 일반항을  구했니??,Eliciting,High
2026. 4. 15. 오전 11:03:15,준호,수열의 합 Sn에서 Sn-S(n-1) 공식을 사용해서 일반항의 공식을 구했어요,,
2026. 4. 15. 오전 11:03:15,교사,왜 그 공식을 사용하면 일반항이 나오는지 알고 있니?,Eliciting,High
