날짜/시간,화자,메시지,TMSSR,Potential
2026. 4. 15. 오전 10:56:20,준호,"선생님, 제가 일반항을 an=3+2n으로 구했는데, 실제 수열이랑 안 맞아요.",,
2026. 4. 15. 오전 10:56:20,교사,그랬구나. 어떤 부분에서 안 맞는다고 느꼈는지 말해줄래?,,
2026. 4. 15. 오전 10:56:20,준호,"n=1 넣으면 5가 나오는데, 실제 첫째항은 3이에요.",,
2026. 4. 15. 오전 10:56:20,교사,두번째항은 얼마가 나왔어?,Eliciting,Low
2026. 4. 15. 오전 10:56:20,준호,5요.,,
2026. 4. 15. 오전 10:56:20,교사,그러면 공차는 얼마일까?,Eliciting,Low
2026. 4. 15. 오전 10:56:20,준호,2요.,,
2026. 4. 15. 오전 10:56:20,교사,공차는 잘 구했네. 그런데 일반항에  n=1을 넣었을 때 값이 다르게 나온 이유는 무엇일까?,Eliciting,High
2026. 4. 15. 오전 10:56:20,준호,흠….. 모르겠어요.,,
2026. 4. 15. 오전 10:56:20,교사,그렇다면 준호가 일반항을 구했던 과정을 알려주겠니?,Eliciting,High
2026. 4. 15. 오전 10:56:20,준호,"공차가 2니까 계속 2가 더해질 거 같아서 n의 계수는 2로 잡았고, 첫째항이 3이니까 상수항은 3으로 정했어요.",,
2026. 4. 15. 오전 10:56:20,교사,"잘 접근했네. 아까 공차는 잘 구한 것을 확인했고, 이제 첫째항이 3이 나오도록 수정하면 되겠다. 어떻게 해야할까?",Facilitating,High
2026. 4. 15. 오전 10:56:20,준호,흠….. 아까 n=1을 넣었을 때 5가 나왔으니까 2를 빼면 될 것 같아요.,,
2026. 4. 15. 오전 10:56:20,교사,그러면 일반항을 다시 구해볼까?,Facilitating,Low
2026. 4. 15. 오전 11:23:24,준호,"선생님, 제가 일반항을 an=3+2n으로 구했는데, 실제 수열이랑 안 맞아요.",,
2026. 4. 15. 오전 11:23:24,교사,그랬구나. 어떤 부분에서 안 맞는다고 느꼈는지 말해줄래?,,
2026. 4. 15. 오전 11:23:24,준호,"n=1 넣으면 5가 나오는데, 실제 첫째항은 3이에요.",,
2026. 4. 15. 오전 11:23:24,교사,그럼 n=2일 때는 값이 얼마가 나와?,Eliciting,Low
2026. 4. 15. 오전 11:23:24,준호,7이요.,,
2026. 4. 15. 오전 11:23:24,교사,그럼 공차는 얼마일까?,Eliciting,Low
2026. 4. 15. 오전 11:23:24,준호,2요.,,
2026. 4. 15. 오전 11:23:24,교사,공차는 잘 구했네. 그런데 일반항에 n=1을 넣었을 때 값이 다르게 나온 이유는 무엇일까?,Eliciting,High
2026. 4. 15. 오전 11:23:24,준호,흠… 모르겠어요,,
2026. 4. 15. 오전 11:23:24,교사,그렇다면 준호가 일반항을 구했던 과정을 알려주겠니?,Eliciting,High
2026. 4. 15. 오전 11:23:24,준호,"공차가 2니까 계속 2가 더해질 거 같아서 n의 계수는 2로 잡았고, 첫째항이 3이니까 상수항은 3으로 정했어요.",,
2026. 4. 15. 오전 11:23:24,교사,"잘 접근했네. 아까 공차는 잘 구한 것을 확인했고, 이제 첫째항이 3이 나오도록 수정하면 되겠다. 어떻게 해야할까?",Facilitating,High
2026. 4. 15. 오전 11:23:24,준호,흠.. 아까 n=1을 넣었을 때 5가 나왔으니까 2를 빼면 될 거 같아요.,,
2026. 4. 15. 오전 11:23:24,교사,그러면 일반항을 다시 구해볼까?,Facilitating,Low
2026. 4. 15. 오전 11:23:24,준호,… a_n=2n+1이요,,
2026. 4. 15. 오전 11:23:24,교사,맞아. 그런데 일반항에 대한 이해가 확 되진 않을 거 같아.,Responding,Low
2026. 4. 15. 오전 11:23:24,준호,좀 그런 거 같아요.,,
2026. 4. 15. 오전 11:23:24,교사,"준호가 공차 먼저 고려를 하고 일반항을 정한 거로 보이는데, 이번엔 첫째항을 먼저 고정하고 일반항을 생각해볼까?",Facilitating,High
2026. 4. 15. 오전 11:23:24,준호,그럼 첫째항은 3이니까 a_n은 공차 2를 3에 n-1번 더해서 조정하면 2n+1이 나오네요.,,
2026. 4. 15. 오전 11:23:24,교사,이러면 준호가 구한 일반항과 실제 일반항과 같게 나오는 구나!,Responding,Low
