날짜/시간,화자,메시지,TMSSR,Potential
2026. 4. 22. 오전 10:45:18,교사,준수야 등차수열 그래프를 그려보니 어땠어?,,
2026. 4. 22. 오전 10:45:18,준수,"그래프를 그려 보니까 점들이 직선처럼 보여요.
그래서 등차수열은 그냥 일차함수라고 생각해도 되는 거 아닌가요?",,
2026. 4. 22. 오전 10:45:18,교사,음.. 수열과 일차함수의 정의역이 어떻게 되는지 한 번 생각해볼까?,Eliciting,High
2026. 4. 22. 오전 10:45:18,준수,"수열의 정의역은 자연수이고, 일차함수의 정의역은 실수이에요",,
2026. 4. 22. 오전 10:45:18,교사,"그러면, 수열과 일차함수의 정의역이 다른데 두 개가 같은 함수라고 생각할 수 있을까?",Eliciting,High
2026. 4. 22. 오전 10:45:18,준수,"생각해보니까, 전에 배웠던 내용으로는 두 함수의 정의역과 공역이 각각 같고, 정의역의 모든 원소에 대하여 함숫값도 같아야 하는데, 수열과 일차함수는 정의역부터 다르니까 같은 함수라고 할 수 없을 것 같아요.",,
2026. 4. 22. 오전 10:45:18,교사,"그렇다면, 일차함수의 정의역을 자연수로 제한한 것을 수열과 비교해볼까?",Facilitating,High
2026. 4. 22. 오전 10:45:18,준수,x에 자연수만 대입하는 거니까 수열의 일반항과 일차함수의 식만 같다면 같은 값이 나올 것 같아요. 그러면 2개의 함수가 같아지는 거 아닌가요?,,
2026. 4. 22. 오전 10:45:18,교사,맞았어. 그러면 이제 직접 한 번 확인해볼까? 학습지에 있는 문제를 풀어보면서 생각한 것과 동일하게 나오는지 확인해보자.,Facilitating,Low
2026. 4. 22. 오전 10:50:02,교사,준수야 등차수열 그래프를 그려보니 어땠어?,,
2026. 4. 22. 오전 10:50:02,준수,"그래프를 그려 보니까 점들이 직선처럼 보여요.
그래서 등차수열은 그냥 일차함수라고 생각해도 되는 거 아닌가요?",,
2026. 4. 22. 오전 10:50:02,교사,음.. 수열과 일차함수의 정의역이 어떻게 되는지 한 번 생각해볼까?,Eliciting,High
2026. 4. 22. 오전 10:50:02,준수,"수열의 정의역은 자연수이고, 일차함수의 정의역은 실수이에요",,
2026. 4. 22. 오전 10:50:02,교사,"그러면, 수열과 일차함수의 정의역이 다른데 두 개가 같은 함수라고 생각할 수 있을까?",Eliciting,High
2026. 4. 22. 오전 10:50:02,준수,"생각해보니까, 전에 배웠던 내용으로는 두 함수의 정의역과 공역이 각각 같고, 정의역의 모든 원소에 대하여 함숫값도 같아야 하는데, 수열과 일차함수는 정의역부터 다르니까 같은 함수라고 할 수 없을 것 같아요.",,
2026. 4. 22. 오전 10:50:02,교사,"그렇다면, 일차함수의 정의역을 자연수로 제한한 것을 수열과 비교해볼까?",Facilitating,High
2026. 4. 22. 오전 10:50:02,준수,x에 자연수만 대입하는 거니까 수열의 일반항과 일차함수의 식만 같다면 같은 값이 나올 것 같아요. 그러면 2개의 함수가 같아지는 거 아닌가요?,,
2026. 4. 22. 오전 10:50:02,교사,맞았어. 그러면 이제 직접 한 번 확인해볼까? 학습지에 있는 문제를 풀어보면서 생각한 것과 동일하게 나오는지 확인해보자.,Facilitating,Low
2026. 4. 22. 오전 10:50:02,준수,실제로 계산해보니까 제가 생각한 거랑 동일하게 나왔어요.,,
2026. 4. 22. 오전 10:50:02,교사,잘했어. 그러면 이번에는 등비수열도 한 번 생각해볼까? 등비수열은 어떤 함수와 비슷하게 그려졌었지?,Eliciting,High
2026. 4. 22. 오전 10:50:02,준수,지수함수요,,
2026. 4. 22. 오전 10:50:02,교사,맞았어. 그러면 지수함수에서도 정의역을 자연수로 제한하면 등비수열처럼 될까?,Facilitating,High
2026. 4. 22. 오전 10:50:02,준수,네. 등차수열 때처럼 비슷하게 될 것 같아요.,,
2026. 4. 22. 오전 10:50:02,교사,그러면 이어서 학습지에 있는 문제를 통해서 확인해보자.,Facilitating,Low
2026. 4. 22. 오전 11:30:50,교사,준수야 등차수열 그래프를 그려보니 어땠어?,,
2026. 4. 22. 오전 11:30:50,준수,"그래프를 그려 보니까 점들이 직선처럼 보여요.
그래서 등차수열은 그냥 일차함수라고 생각해도 되는 거 아닌가요?",,
2026. 4. 22. 오전 11:30:50,교사,음.. 그렇게 생각할 수도 있을 것 같아. 그런데 수열과 함수에서 입력값이 어떻게 다르지?,Eliciting,High
2026. 4. 22. 오전 11:30:50,준수,"수열은 자연수를 대입하고, 함수는 실수를 대입해요.",,
2026. 4. 22. 오전 11:30:50,교사,맞아. 그러면 수열은 자연수만 대입하니까 1.5번째항 같은게 없는거지. 그런데 함수에서는 x에 1.5와 같이 자연수가 아닌 수들도 대입하니까 그래프가 이어져서 그려지겠지?,Facilitating,High
2026. 4. 22. 오전 11:30:50,교사,그러면 등차수열과 일차함수는 같은 함수라고 볼 수 있을까?,Eliciting,High
2026. 4. 22. 오전 11:30:50,준수,"생각해보니까, 전에 배웠던 내용으로는 두 함수의 정의역과 공역이 각각 같고, 정의역의 모든 원소에 대하여 함숫값도 같아야 하는데, 수열과 일차함수는 정의역부터 다르니까 같은 함수라고 할 수 없을 것 같아요.",,
2026. 4. 22. 오전 11:30:50,교사,"그렇다면, 일차함수의 정의역을 자연수로 제한한 것을 수열과 비교해볼까?",Facilitating,High
2026. 4. 22. 오전 11:30:50,준수,x에 자연수만 대입하는 거니까 수열의 일반항과 일차함수의 식만 같다면 같은 값이 나올 것 같아요. 그러면 2개의 함수가 같아지는 거 아닌가요?,,
2026. 4. 22. 오전 11:30:50,교사,맞았어. 그러면 이제 직접 한 번 확인해볼까? 학습지에 있는 문제를 풀어보면서 생각한 것과 동일하게 나오는지 확인해보자.,Facilitating,Low
2026. 4. 22. 오전 11:30:50,준수,실제로 계산해보니까 제가 생각한 거랑 동일하게 나왔어요.,,
2026. 4. 22. 오전 11:30:50,교사,잘했어. 그러면 이번에는 등비수열도 한 번 생각해볼까? 등비수열은 어떤 함수와 비슷하게 그려졌었지?,Eliciting,High
2026. 4. 22. 오전 11:30:50,준수,지수함수처럼 생겼어요.,,
2026. 4. 22. 오전 11:30:50,교사,"""처럼""이라고 말해주었는데, 그럼 완전히 같은 걸까 아니면 비슷한 걸까?",Eliciting,High
2026. 4. 22. 오전 11:30:50,준수,"음,,, 그냥 같은 거 아닌가요?",,
2026. 4. 22. 오전 11:30:50,교사,그래? 그러면 다시 한 번 확인해보자. 지수함수는 x에 어떤 값을 넣을 수 있지?,Eliciting,High
2026. 4. 22. 오전 11:30:50,준수,실수요,,
2026. 4. 22. 오전 11:30:50,교사,등비수열은 n에 어떤 값을 넣을 수 있지?,Eliciting,Low
2026. 4. 22. 오전 11:30:50,준수,자연수요,,
2026. 4. 22. 오전 11:30:50,교사,그러면 그래프 모양에서 어떤 차이가 생길까?,Eliciting,High
2026. 4. 22. 오전 11:30:50,준수,"등차수열처럼 등비수열은 자연수를 대입했으니까 점으로 찍히고, 지수함수는 실수를 대입했으니까 계속 이어지게 그려지겠네요",,
2026. 4. 22. 오전 11:30:50,교사,좋아. 그러면 둘은 같은 함수라고 할 수 있을까?,Eliciting,High
2026. 4. 22. 오전 11:30:50,준수,아니요. 등차수열때처럼 정의역이 다르니까 같은 함수라고 할 수 없어요.,,
2026. 4. 22. 오전 11:30:50,교사,좋아. 그러면 직접 계산해서 비교해보자. 그리고 지수함수에 자연수만 넣으면 어떻게 되는지도 살펴보자,Facilitating,Low
2026. 4. 22. 오전 11:30:50,준수,값이 등비수열과 지수함수가 동일하게 나와요.,,
2026. 4. 22. 오전 11:30:50,교사,잘했어. 그러면 지금까지 배운 내용들을 정리해볼까?,Extending,High
2026. 4. 22. 오전 11:30:50,준수,"일차함수의 정의역을 자연수로 제한하면 등차수열과 똑같아지고, 지수함수의 정의역을 자연수로 제한하면 등비수열과 똑같아져요.",,
2026. 4. 22. 오전 11:30:50,교사,정확해. 같은 함수인지 파악할 때 중요한 건 그래프의 개형이 아니라 정의역도 같은지 확인하는 거라는 것을 기억해두자.,Extending,High
2026. 4. 22. 오전 10:47:45,교사,준수야 등차수열 그래프를 그려보니 어땠어?,,
2026. 4. 22. 오전 10:47:45,준수,"그래프를 그려 보니까 점들이 직선처럼 보여요.
그래서 등차수열은 그냥 일차함수라고 생각해도 되는 거 아닌가요?",,
2026. 4. 22. 오전 10:47:45,교사,등차수열의 식에 n에는 어떤 수를 대입할 수 있었지?,Eliciting,Low
2026. 4. 22. 오전 10:47:45,준수,"1,2,3 이런 수를 대입했으니깐 자연수요",,
2026. 4. 22. 오전 10:47:45,교사,그럼 n에 자연수가 아닌 수를 넣으면 등차수열이 성립이 될까?,Eliciting,High
2026. 4. 22. 오전 10:47:45,준수,수열에서 n은 자연수라서 성립이 될 수 없어요,,
