날짜/시간,화자,메시지,TMSSR,Potential
2026. 4. 22. 오전 10:47:11,교사,준수야 등차수열 그래프를 그려보니 어땠어?,,
2026. 4. 22. 오전 10:47:11,준수,"그래프를 그려 보니까 점들이 직선처럼 보여요.
그래서 등차수열은 그냥 일차함수라고 생각해도 되는 거 아닌가요?",,
2026. 4. 22. 오전 10:47:11,교사,일차 함수와 등차 수열의 차이점은 무엇이니??,Eliciting,High
2026. 4. 22. 오전 10:47:11,준수,거의 똑같은거 아닌가요?,,
2026. 4. 22. 오전 10:47:11,교사,일차함수의 그래프와 등차수열의 그래프를 다시 한 번 그려볼까?,Facilitating,Low
2026. 4. 22. 오전 10:47:11,준수,아! 일차함수는 쭉 연결되어 있는데 등차수열은 중간 중간이 끊겨져 있어요,,
2026. 4. 22. 오전 10:47:11,교사,그럼 이제 함수의 기본 개념을 바탕으로 차이점을 다시 한 번 생각해볼까?,Facilitating,High
2026. 4. 22. 오전 10:47:11,준수,정의역이 서로 달라요. 일차함수는 실수 전체이고 등차수열은 정의역이 자연수에요!,,
2026. 4. 22. 오전 10:47:11,교사,맞아. 그 차이에서 발생하는 문제들이 있기에 엄밀하게 말해서 완전히 같다고는 할 수 없어.,Responding,Low
2026. 4. 22. 오전 10:58:21,교사,준수야 등차수열 그래프를 그려보니 어땠어?,,
2026. 4. 22. 오전 10:58:21,준수,"그래프를 그려 보니까 점들이 직선처럼 보여요.
그래서 등차수열은 그냥 일차함수라고 생각해도 되는 거 아닌가요?",,
2026. 4. 22. 오전 10:58:21,교사,일차 함수와 등차 수열의 차이점은 무엇이니??,Eliciting,High
2026. 4. 22. 오전 10:58:21,준수,거의 똑같은거 아닌가요?,,
2026. 4. 22. 오전 10:58:21,교사,함수의 기본 개념을 다시 생각해보면서 일차함수의 그래프와 등차수열의 그래프를 다시 한 번 그려볼까?,Facilitating,High
2026. 4. 22. 오전 10:58:21,준수,아! 일차함수는 쭉 연결되어 있는데 등차수열은 중간 중간이 끊겨져 있어요,,
2026. 4. 22. 오전 10:58:21,교사,그럼 이제 함수의 기본 개념을 바탕으로 차이점을 다시 한 번 생각해볼까?,Facilitating,High
2026. 4. 22. 오전 10:58:21,준수,정의역이 서로 달라요. 일차함수는 실수 전체이고 등차수열은 정의역이 자연수에요!,,
2026. 4. 22. 오전 10:58:21,교사,맞아. 그 차이에서 발생하는 문제들이 있기에 엄밀하게 말해서 완전히 같다고는 할 수 없어. 이 기회에 함수의 기본 개념에 대해 복습해보면 좋을거 같아,Responding,Low
2026. 4. 22. 오전 11:22:19,교사,준수야 등차수열 그래프를 그려보니 어땠어?,,
2026. 4. 22. 오전 11:22:19,준수,"그래프를 그려 보니까 점들이 직선처럼 보여요.
그래서 등차수열은 그냥 일차함수라고 생각해도 되는 거 아닌가요?",,
2026. 4. 22. 오전 11:22:19,교사,일차 함수와 등차 수열의 차이점은 무엇이니??,Eliciting,High
2026. 4. 22. 오전 11:22:19,준수,거의 똑같은거 아닌가요?,,
2026. 4. 22. 오전 11:22:19,교사,함수의 기본 개념을 다시 생각해보면서 일차함수의 그래프와 등차수열의 그래프를 다시 한 번 그려볼까?,Facilitating,High
2026. 4. 22. 오전 11:22:19,준수,아! 일차함수는 쭉 연결되어 있는데 등차수열은 중간 중간이 끊겨져 있어요,,
2026. 4. 22. 오전 11:22:19,교사,그럼 이제 함수의 기본 개념을 바탕으로 차이점을 다시 한 번 생각해볼까?,Facilitating,High
2026. 4. 22. 오전 11:22:19,준수,그 일차함수는 x에 아무거나 넣어도 되는데 등차수열은 자연수만 넣을 수 있는거 같아요,,
2026. 4. 22. 오전 11:22:19,교사,"그럼 일차수열에서는 x가 가로 축이고 등차수열에는 n이 가로축이니까, 뭔가 가로축에서 서로 다른 부분이 있어 보이는데?",Facilitating,High
2026. 4. 22. 오전 11:22:19,준수,맞아요!,,
2026. 4. 22. 오전 11:22:19,교사,가로축의 범위를 우리 뭐라고 이야기 했었는지 다시 한 번 생각해볼까?,Facilitating,Low
2026. 4. 22. 오전 11:22:19,준수,잘 모르겠어요,,
2026. 4. 22. 오전 11:22:19,교사,"우리 가로축의 범위를 정의역이라고 배웠었는데, 기억이 나니?",Facilitating,Low
2026. 4. 22. 오전 11:22:19,준수,아 맞아요! 기억이 났어요! 아 그럼 정의역이 서로 달라서 일차 함수와 등차 수열이 다른 것이군요!,,
2026. 4. 22. 오전 11:29:25,교사,준수야 등차수열 그래프를 그려보니 어땠어?,,
2026. 4. 22. 오전 11:29:25,준수,"그래프를 그려 보니까 점들이 직선처럼 보여요.
그래서 등차수열은 그냥 일차함수라고 생각해도 되는 거 아닌가요?",,
2026. 4. 22. 오전 11:29:25,교사,일차 함수와 등차 수열의 차이점은 무엇이니??,Eliciting,High
2026. 4. 22. 오전 11:29:25,준수,거의 똑같은거 아닌가요?,,
2026. 4. 22. 오전 11:29:25,교사,함수의 기본 개념을 다시 생각해보면서 일차함수의 그래프와 등차수열의 그래프를 다시 한 번 그려볼까?,Facilitating,High
2026. 4. 22. 오전 11:29:25,준수,아! 일차함수는 쭉 연결되어 있는데 등차수열은 중간 중간이 끊겨져 있어요,,
2026. 4. 22. 오전 11:29:25,교사,그럼 이제 함수의 기본 개념을 바탕으로 차이점을 다시 한 번 생각해볼까?,Eliciting,High
2026. 4. 22. 오전 11:29:25,준수,그 일차함수는 x에 아무거나 넣어도 되는데 등차수열은 자연수만 넣을 수 있는거 같아요,,
2026. 4. 22. 오전 11:29:25,교사,"그럼 일차수열에서는 x가 가로 축이고 등차수열에는 n이 가로축이니까, 뭔가 가로축에서 서로 다른 부분이 있어 보이는데?",Facilitating,High
2026. 4. 22. 오전 11:29:25,준수,맞아요!,,
2026. 4. 22. 오전 11:29:25,교사,가로축의 범위를 우리 뭐라고 이야기 했었는지 다시 한 번 생각해볼까?,Eliciting,Low
2026. 4. 22. 오전 11:29:25,준수,잘 모르겠어요,,
2026. 4. 22. 오전 11:29:25,교사,"우리 가로축의 범위를 정의역이라고 배웠었는데, 기억이 나니?",Facilitating,Low
2026. 4. 22. 오전 11:29:25,준수,아 맞아요! 기억이 났어요! 아 그럼 정의역이 서로 달라요.,,
2026. 4. 22. 오전 11:29:25,교사,그럼 일차함수와 등차수열의 정의역이 어떻게 될까?,Eliciting,High
2026. 4. 22. 오전 11:29:25,준수,일차함수는 전체인거 같고 등차수열은 자연수인거 같아요,,
2026. 4. 22. 오전 11:29:25,교사,조금 더 보완하자면 일차함수는 실수 전체이고 등차수열은 자연수가 맞아.,Responding,Low
2026. 4. 22. 오전 11:29:25,준수,그럼 정의역이 같지 않으면 서로 같은 함수라고 할 수 없나요?,,
2026. 4. 22. 오전 11:29:25,교사,그럼 우리 지금부터는 함수가 서로 같을 수 있는 조건에 대해 같이 한 번 찾아볼까?,Facilitating,High
2026. 4. 22. 오전 11:02:25,교사,준수야 등차수열 그래프를 그려보니 어땠어?,,
2026. 4. 22. 오전 11:02:25,준수,"그래프를 그려 보니까 점들이 직선처럼 보여요.
그래서 등차수열은 그냥 일차함수라고 생각해도 되는 거 아닌가요?",,
2026. 4. 22. 오전 11:02:25,교사,아하 그렇게 보일 수 있지. 그런데 일차함수 직선과는 조금 다르지 않니?,Eliciting,High
2026. 4. 22. 오전 11:02:25,준수,네 직선처럼 이어져 있지는 않고 점들이 직선 모양으로 찍혀있어요.,,
2026. 4. 22. 오전 11:02:25,교사,맞아 왜 등차수열을 그래프로 나타냈을 때는 직선이 아니라 점이 찍힌 모양으로 그려질까?,Eliciting,High
2026. 4. 22. 오전 11:02:25,준수,모르겠어요.,,
2026. 4. 22. 오전 11:02:25,교사,그러면 일단 우리가 배웠던 일차함수에 대해 다시 생각해보자. 일차함수에는 어떤 값들을 대입할 수 있었지?,Facilitating,High
2026. 4. 22. 오전 11:02:25,준수,실수 전체요.,,
2026. 4. 22. 오전 11:02:25,교사,그러면 등차수열에도 실수 전체 값을 대입할 수 있을까?,Facilitating,High
2026. 4. 22. 오전 11:02:25,준수,음… 그건 아닌 것 같아요.,,
2026. 4. 22. 오전 11:02:25,교사,왜 그렇게 생각해?,Eliciting,High
2026. 4. 22. 오전 11:02:25,준수,수열은 수의 나열이니까 자연수만 돼요.,,
2026. 4. 22. 오전 11:02:25,교사,맞아. 그러면 등차수열을 일차함수로 생각했을 때 정의역이 어떻게 될까?,Facilitating,High
2026. 4. 22. 오전 11:02:25,준수,자연수…?,,
2026. 4. 22. 오전 11:02:25,교사,맞아! 이제 등차수열의 그래프와 일차함수의 그래프가 왜 다르게 그려지는지 알겠니?,Facilitating,High
